auc,              objective,eval_metric,random_seed,learning_rate,l2_leaf_reg,subsample,depth,border_count,grow_policy,iterations,max_leaves
0.8214698084968095,Logloss,AUC,42,0.0183832802841483,4.24348355935796,0.46645667943978464,7,179,SymmetricTree,100,
0.8202329546841862,Logloss,AUC,42,0.022197371375156698,7.506086982752238,0.4985207904832184,7,163,Lossguide,100,36.0
0.8181687732686171,Logloss,AUC,42,0.056760109593672996,4.765997993094675,0.5032417741208688,4,115,Lossguide,100,35.0
0.8125841870488708,Logloss,AUC,42,0.017690799297651848,7.218218593035701,0.4161246286908318,7,189,Lossguide,100,38.0
0.8115596993363285,Logloss,AUC,42,0.13006398059655944,3.2543493430739363,0.4617668425310167,7,116,Lossguide,100,36.0
0.8095791781193027,Logloss,AUC,42,0.013170692873638354,0.5752027889358136,0.41500951230739497,4,105,Lossguide,100,31.0
0.8089049368709771,Logloss,AUC,42,0.02064487712075052,6.962075362133327,0.5102350268103758,9,104,SymmetricTree,100,
0.8033856074228197,Logloss,AUC,42,0.07096769422521304,6.790706508269995,0.5605142396927283,8,101,Lossguide,100,36.0
0.8028992428179763,Logloss,AUC,42,0.018993458317642677,4.26475429859409,0.4961899133719879,7,188,SymmetricTree,100,
0.8027025278060702,Logloss,AUC,42,0.03554377919054776,4.149287407107407,0.4846275510577264,6,106,SymmetricTree,100,
0.8020681364264753,Logloss,AUC,42,0.05823274183423491,6.873305531259656,0.4594925751340779,4,94,SymmetricTree,100,
0.800145041895138,Logloss,AUC,42,0.03390705332190566,4.180363418309839,0.49449517666094633,7,194,SymmetricTree,100,
0.7952408011206142,Logloss,AUC,42,0.010166702269292822,5.218808643055742,0.48223215277266723,5,143,SymmetricTree,100,
0.7944801745858447,Logloss,AUC,42,0.010096150433886251,6.899097170549518,0.43390660781797413,4,110,SymmetricTree,100,
0.7943724427775142,Logloss,AUC,42,0.22464195887957317,5.716652078336704,0.47881365701375694,5,125,SymmetricTree,100,
0.7939889502409122,Logloss,AUC,42,0.03853319077433323,5.158711003679373,0.4454040839539991,6,130,Lossguide,100,31.0
0.7925357516998736,Logloss,AUC,42,0.14275259288932357,5.004861134571855,0.6800398259358305,6,183,Depthwise,100,
0.7919663173321986,Logloss,AUC,42,0.26803122159239184,5.709440848406047,0.47130681247307743,4,124,SymmetricTree,100,
0.7916473457934525,Logloss,AUC,42,0.0720473405748972,6.781895985694636,0.5622138863329199,8,97,Lossguide,100,36.0
0.7910795010603862,Logloss,AUC,42,0.1972745264139125,3.135809742530088,0.49214919556950765,9,187,SymmetricTree,100,
0.7903428825500196,Logloss,AUC,42,0.14912006483672552,7.017306243319583,0.4946393886991146,7,88,Depthwise,100,
0.7885914231382781,Logloss,AUC,42,0.01885754740856019,8.005557989585897,0.709603800762439,10,119,Lossguide,100,33.0
0.7884868251810331,Logloss,AUC,42,0.030129340689808666,3.7329961640495264,0.4348717677054342,4,140,SymmetricTree,100,
0.7875666356660667,Logloss,AUC,42,0.06631728779802888,1.330307989309678,0.8916040256161955,10,137,Lossguide,100,37.0
0.7869446979381767,Logloss,AUC,42,0.0254056858649176,3.024313214109262,0.5739941108894495,4,108,SymmetricTree,100,
0.7849516594840616,Logloss,AUC,42,0.011826125062591827,7.616702074062179,0.43987433755792527,4,109,Lossguide,100,46.0
0.7839020010429455,Logloss,AUC,42,0.08925996580361867,2.0356509858773197,0.46926848088306605,8,91,Lossguide,100,39.0
0.7835977268116093,Logloss,AUC,42,0.03797432018179278,5.092322414133822,0.4520161440299391,6,127,Lossguide,100,31.0
0.7832792276214328,Logloss,AUC,42,0.05431168108007,8.853505545299111,0.5228482555078529,8,166,SymmetricTree,100,
0.7824962826167587,Logloss,AUC,42,0.2596102445681904,9.888355646282516,0.5603707465883792,5,105,SymmetricTree,100,
0.7809726587207464,Logloss,AUC,42,0.21003658015694207,2.3254710140041857,0.6908697190218744,6,170,Depthwise,100,
0.7804038602069148,Logloss,AUC,42,0.05065405392654397,7.147002309987824,0.46299456199792977,6,86,SymmetricTree,100,
0.7803776085268073,Logloss,AUC,42,0.09339909177587008,1.3469549794654667,0.5212529187169619,5,128,Lossguide,100,41.0
0.780169330058577,Logloss,AUC,42,0.05587753617683519,0.4281867696292214,0.5119505112692811,4,100,Lossguide,100,48.0
0.7801243025228355,Logloss,AUC,42,0.08464468435259612,3.3774659963330107,0.6281318966066487,4,163,SymmetricTree,100,
0.7792753558892129,Logloss,AUC,42,0.03858496923346764,4.389838566729811,0.5475358402455579,7,181,SymmetricTree,100,
0.7792144320073855,Logloss,AUC,42,0.0559127381451829,6.6269305081296865,0.5582955638303587,9,103,SymmetricTree,100,
0.7787830324254938,Logloss,AUC,42,0.29871421946547705,3.8638308483183854,0.6860815752312103,4,131,Depthwise,100,
0.7773943912168164,Logloss,AUC,42,0.06144638561268105,2.564198644538894,0.46085125210961064,4,88,Lossguide,100,35.0
0.7772083948839854,Logloss,AUC,42,0.19270649587808167,5.304155161898958,0.44556939501853327,7,157,SymmetricTree,100,
0.7771988752435864,Logloss,AUC,42,0.02248067179496467,7.535015221744133,0.4815282305219304,7,158,Lossguide,100,43.0
0.7755876942733331,Logloss,AUC,42,0.17144463331374318,4.295810623043594,0.6362047028912967,5,120,SymmetricTree,100,
0.775241717113494,Logloss,AUC,42,0.03293154610821299,5.049562121428062,0.47859145759204047,7,146,Lossguide,100,34.0
0.774595553354169,Logloss,AUC,42,0.018379908429061478,4.28590964561139,0.4580315243490986,7,184,SymmetricTree,100,
